Samsung;Galaxy A20s;699;15;8;15;12;15;14;8;9;14;10;13;8
Samsung;Galaxy A70s;1699;12;6;5;4;2;5;3;7;8;6;4;5
Huawei;Mate20 Pro;1699;9;16;1;6;12;10;8;7;3;8;5;11
Apple;iPhone 7 Plus;2689;10;12;14;15;10;8;8;12;11;17;15;19
Xiomi;Mi Note 10;1599;21;8;8;0;11;12;9;15;8;4;10;8
Xiomi;Redmi 8;499;20;2;12;9;20;2;8;10;7;12;9;7
Huawei;Mate30 Pro;3899;8;5;7;12;10;2;9;15;16;10;12;10
Vivo;Nex3;3899;8;8;12;10;8;15;15;5;9;3;10;8
Oppo;Reno2 F;1599;12;5;9;8;10;15;8;2;7;8;12;8
Vivo;V15 Pro;1699;6;15;9;12;15;3;10;6;3;7;8;15
Oppo;K5;1199;8;6;8;5;8;6;6;10;8;15;15;15
Huawei;P30 Pro;3199;7;9;15;16;8;8;5;3;7;7;2;12
Huawei;Nova 50T;1599;12;15;0;8;5;7;6;5;12;15;16;9
Vivo;Y17;799;15;20;8;8;6;12;8;8;9;6;3;7
Vivo;Z1 Pro;899;14;15;5;9;8;2;6;12;8;12;15;10
Oppo;A9;1199;9;15;7;6;5;18;15;5;10;10;8;6
Apple;iPhone XR;3599;6;7;8;9;4;5;6;7;8;9;8;9
Apple;iPhone 11 pro;4899;8;7;9;8;6;10;1;4;7;6;9;10
Samsung;Galaxy A30s;899;10;12;15;6;10;8;16;15;4;9;8;4
Huawei;P Smart Z;1299;15;16;5;7;8;5;4;10;2;8;5;7
Apple;iPhone XS;4799;8;7;8;12;7;6;10;8;8;12;14;12
Vivo;V17 Pro;1699;5;8;6;3;7;8;4;4;3;7;8;3
Vivo;Y19;999;9;10;12;4;4;1;8;15;8;6;12;4
Samsung;Galaxy A50s;1299;7;8;9;8;10;2;3;5;6;7;8;6
Xiomi;Mi 9 Pro;2299;15;15;7;20;2;7;20;2;10;20;2;5
Oppo;Reno2;2299;15;14;5;4;3;2;10;14;6;2;5;3
Apple;iPhone 8;2730;10;11;14;12;14;15;9;8;10;5;4;8
Vivo;U3;649;8;5;0;15;3;6;2;10;8;16;10;6
Huawei;P30 Lite;1199;12;10;6;12;10;8;7;9;12;10;4;15
Xiomi;Mi 9 Lite;1199;8;10;9;10;8;8;10;15;10;8;3;7
Oppo;A5;699;10;6;2;7;2;8;6;8;15;6;3;10
Xiomi;Redmi Note 8 pro;1099;9;7;20;2;15;12;9;8;8;10;5;9
Huawei;Nova 4e;1199;10;8;15;16;5;19;7;8;1;5;2;4
Apple;iPhone 11;3399;7;8;9;9;5;11;12;12;7;9;8;6
Oppo;F1 Pro;1399;14;8;4;3;14;9;5;19;8;7;4;14
Xiomi;Mi A3;899;12;9;8;10;20;2;8;9;15;10;8;1
Vivo;iQ00 Neo;1199;7;12;15;10;2;7;4;3;6;6;15;9
Vivo;X27;2199;10;16;10;6;1;8;15;15;16;10;6;10
Oppo;Reno2 Z;1799;5;9;1;5;15;6;18;2;16;8;7;11
Xiomi;Redmi K20;1299;10;5;6;20;14;7;20;2;20;2;15;8
Huawei;Nova 4;1899;16;6;8;18;2;15;12;10;15;16;1;8
Oppo;Reno Z;1499;6;5;6;12;5;4;10;8;5;9;10;8
Vivo;X27 Pro;2499;12;5;8;12;10;10;9;5;7;3;7;8
Apple;iPhone XS Max;5085;2;3;5;4;6;2;3;7;6;4;5;6
Apple;iPhone X;4299;6;7;8;9;8;5;4;6;8;7;9;10
Apple;iPhone 8 Plus;3299;9;10;4;7;15;12;4;7;8;16;8;9
Samsung;Galaxy Note10;3699;5;3;5;4;6;3;2;7;1;6;4;3
Vivo;Y11;599;5;4;3;2;1;6;5;7;4;8;4;2
Vivo;Z5;999;8;10;5;6;12;8;14;7;6;3;4;6
Vivo;Z3x;749;10;15;8;99;14;6;10;7;8;9;10;11
