
BRAND	MODEL			PRICE		JAN	FEB	MAC	APRIL	MAY	JUNE	JULY	AUG	SEPT	OCT	NOV	DEC	TOTAL SALES	COLLECTION(RM)
===============================================================================================================================================================================
Samsung	 Galaxy A20s		699.00		15	8	15	12	15	14	8	9	14	10	13	8	141		98559.00
Samsung	 Galaxy A70s		1699.00		12	6	5	4	2	5	3	7	8	6	4	5	67		113833.00
Samsung	 Galaxy A30s		899.00		10	12	15	6	10	8	16	15	4	9	8	4	117		105183.00
Samsung	 Galaxy A50s		1299.00		7	8	9	8	10	2	3	5	6	7	8	6	79		102621.00
Samsung	 Galaxy Note10		3699.00		5	3	5	4	6	3	2	7	1	6	4	3	49		181251.00

Apple	 iPhone 7 Plus		2689.00		10	12	14	15	10	8	8	12	11	17	15	19	151		406039.00
Apple	 iPhone XR		3599.00		6	7	8	9	4	5	6	7	8	9	8	9	86		309514.00
Apple	 iPhone 11 pro		4899.00		8	7	9	8	6	10	1	4	7	6	9	10	85		416415.00
Apple	 iPhone XS		4799.00		8	7	8	12	7	6	10	8	8	12	14	12	112		537488.00
Apple	 iPhone 8		2730.00		10	11	14	12	14	15	9	8	10	5	4	8	120		327600.00
Apple	 iPhone 11		3399.00		7	8	9	9	5	11	12	12	7	9	8	6	103		350097.00
Apple	 iPhone XS Max		5085.00		2	3	5	4	6	2	3	7	6	4	5	6	53		269505.00
Apple	 iPhone X		4299.00		6	7	8	9	8	5	4	6	8	7	9	10	87		374013.00
Apple	 iPhone 8 Plus		3299.00		9	10	4	7	15	12	4	7	8	16	8	9	109		359591.00

Huawei	 Mate20 Pro		1699.00		9	16	1	6	12	10	8	7	3	8	5	11	96		163104.00
Huawei	 Mate30 Pro		3899.00		8	5	7	12	10	2	9	15	16	10	12	10	116		452284.00
Huawei	 P30 Pro		3199.00		7	9	15	16	8	8	5	3	7	7	2	12	99		316701.00
Huawei	 Nova 50T		1599.00		12	15	0	8	5	7	6	5	12	15	16	9	110		175890.00
Huawei	 P Smart Z		1299.00		15	16	5	7	8	5	4	10	2	8	5	7	92		119508.00
Huawei	 P30 Lite		1199.00		12	10	6	12	10	8	7	9	12	10	4	15	115		137885.00
Huawei	 Nova 4e		1199.00		10	8	15	16	5	19	7	8	1	5	2	4	100		119900.00
Huawei	 Nova 4			1899.00		16	6	8	18	2	15	12	10	15	16	1	8	127		241173.00

Oppo	 Reno2 F		1599.00		12	5	9	8	10	15	8	2	7	8	12	8	104		166296.00
Oppo	 K5			1199.00		8	6	8	5	8	6	6	10	8	15	15	15	110		131890.00
Oppo	 A9			1199.00		9	15	7	6	5	18	15	5	10	10	8	6	114		136686.00
Oppo	 Reno2			2299.00		15	14	5	4	3	2	10	14	6	2	5	3	83		190817.00
Oppo	 A5			699.00		10	6	2	7	2	8	6	8	15	6	3	10	83		58017.00
Oppo	 F1 Pro			1399.00		14	8	4	3	14	9	5	19	8	7	4	14	109		152491.00
Oppo	 Reno2 Z		1799.00		5	9	1	5	15	6	18	2	16	8	7	11	103		185297.00
Oppo	 Reno Z			1499.00		6	5	6	12	5	4	10	8	5	9	10	8	88		131912.00

Vivo	 Nex3			3899.00		8	8	12	10	8	15	15	5	9	3	10	8	111		432789.00
Vivo	 V15 Pro		1699.00		6	15	9	12	15	3	10	6	3	7	8	15	109		185191.00
Vivo	 Y17			799.00		15	20	8	8	6	12	8	8	9	6	3	7	110		87890.00
Vivo	 Z1 Pro			899.00		14	15	5	9	8	2	6	12	8	12	15	10	116		104284.00
Vivo	 V17 Pro		1699.00		5	8	6	3	7	8	4	4	3	7	8	3	66		112134.00
Vivo	 Y19			999.00		9	10	12	4	4	1	8	15	8	6	12	4	93		92907.00
Vivo	 U3			649.00		8	5	0	15	3	6	2	10	8	16	10	6	89		57761.00
Vivo	 iQ00 Neo		1199.00		7	12	15	10	2	7	4	3	6	6	15	9	96		115104.00
Vivo	 X27			2199.00		10	16	10	6	1	8	15	15	16	10	6	10	123		270477.00
Vivo	 X27 Pro		2499.00		12	5	8	12	10	10	9	5	7	3	7	8	96		239904.00
Vivo	 Y11			599.00		5	4	3	2	1	6	5	7	4	8	4	2	51		30549.00
Vivo	 Z5			999.00		8	10	5	6	12	8	14	7	6	3	4	6	89		88911.00
Vivo	 Z3x			749.00		10	15	8	99	14	6	10	7	8	9	10	11	207		155043.00

Xiomi	 Mi Note 10		1599.00		21	8	8	0	11	12	9	15	8	4	10	8	114		182286.00
Xiomi	 Redmi 8		499.00		20	2	12	9	20	2	8	10	7	12	9	7	118		58882.00
Xiomi	 Mi 9 Pro		2299.00		15	15	7	20	2	7	20	2	10	20	2	5	125		287375.00
Xiomi	 Mi 9 Lite		1199.00		8	10	9	10	8	8	10	15	10	8	3	7	106		127094.00
Xiomi	 Redmi Note 8 pro	1099.00		9	7	20	2	15	12	9	8	8	10	5	9	114		125286.00
Xiomi	 Mi A3			899.00		12	9	8	10	20	2	8	9	15	10	8	1	112		100688.00
Xiomi	 Redmi K20		1299.00		10	5	6	20	14	7	20	2	20	2	15	8	129		167571.00
